Año,Total Precipitación (L/m²),Media Anual (L/m² al Año),Tasa de Variación (%),Clasificación
2006,81652279,5082.94,N/A,Pluvioso
2007,62275361,3876.7,-23.73,Seco
2008,60853163,3788.17,-2.28,Seco
2009,62067419,3863.76,2.0,Seco
2010,48571392,3023.62,-21.74,Seco
2011,58461222,3639.27,20.36,Seco
2012,59158636,3682.68,1.19,Seco
2013,70851042,4410.55,19.76,Pluvioso
2014,68383100,4256.92,-3.48,Pluvioso
2015,60727011,3780.32,-11.2,Seco
2016,74275674,4623.73,22.31,Pluvioso
2017,59762746,3720.29,-19.54,Seco
2018,68151719,4242.51,14.04,Pluvioso
2019,70483797,4387.69,3.42,Pluvioso
2020,67016748,4171.86,-4.92,Pluvioso
2021,59468080,3701.95,-11.26,Seco
2022,85467456,5320.43,43.72,Pluvioso
2023,47636675,2965.43,-44.26,Seco
2024,56242216,3501.13,18.06,Seco
2025,56758813,3533.29,0.92,Seco
2026,65379478,4069.94,15.19,Pluvioso
2027,83911396,5223.57,28.35,Pluvioso
2028,53153844,3308.88,-36.65,Seco
2029,56524052,3518.68,6.34,Seco
2030,74840744,4658.91,32.41,Pluvioso
2031,74114683,4613.71,-0.97,Pluvioso
2032,76676334,4773.18,3.46,Pluvioso
2033,70951905,4416.83,-7.47,Pluvioso
2034,55885956,3478.96,-21.23,Seco
2035,56984412,3547.34,1.97,Seco
2036,65614196,4084.55,15.14,Pluvioso
2037,64609726,4022.02,-1.53,Pluvioso
2038,58280012,3627.99,-9.8,Seco
2039,78852722,4908.66,35.3,Pluvioso
2040,65071926,4050.79,-17.48,Pluvioso
2041,49135236,3058.72,-24.49,Seco
2042,60577969,3771.04,23.29,Seco
2043,66794657,4158.03,10.26,Pluvioso
2044,56880489,3540.87,-14.84,Seco
2045,58500793,3641.73,2.85,Seco
2046,63841378,3974.19,9.13,Seco
2047,63498509,3952.85,-0.54,Seco
2048,60251208,3750.7,-5.11,Seco
2049,67795126,4220.31,12.52,Pluvioso
2050,61354968,3819.41,-9.5,Seco
2051,56540246,3519.69,-7.85,Seco
2052,50227742,3126.73,-11.16,Seco
2053,62656211,3900.41,24.74,Seco
2054,75618909,4707.35,20.69,Pluvioso
2055,57726785,3593.55,-23.66,Seco
2056,76578594,4767.09,32.66,Pluvioso
2057,70299898,4376.24,-8.2,Pluvioso
2058,55051308,3427.0,-21.69,Seco
2059,48514367,3020.07,-11.87,Seco
2060,50216733,3126.04,3.51,Seco
2061,52970740,3297.48,5.48,Seco
2062,54996142,3423.56,3.82,Seco
2063,61183312,3808.72,11.25,Seco
2064,51288522,3192.76,-16.17,Seco
2065,56469221,3515.27,10.1,Seco
2066,60217657,3748.61,6.64,Seco
2067,72780863,4530.68,20.86,Pluvioso
2068,56075281,3490.74,-22.95,Seco
2069,51327706,3195.2,-8.47,Seco
2070,65368595,4069.26,27.36,Pluvioso
2071,73901222,4600.42,13.05,Pluvioso
2072,49903090,3106.52,-32.47,Seco
2073,56010083,3486.68,12.24,Seco
2074,59940299,3731.34,7.02,Seco
2075,58535763,3643.91,-2.34,Seco
2076,40465080,2518.99,-30.87,Seco
2077,56806236,3536.24,40.38,Seco
2078,67343397,4192.19,18.55,Pluvioso
2079,36625056,2279.95,-45.61,Seco
2080,61479679,3827.17,67.86,Seco
2081,79772225,4965.9,29.75,Pluvioso
2082,50617841,3151.01,-36.55,Seco
2083,75811480,4719.34,49.77,Pluvioso
2084,52728045,3282.37,-30.45,Seco
2085,59003028,3673.0,11.9,Seco
2086,47312552,2945.25,-19.81,Seco
2087,44692983,2782.18,-5.54,Seco
2088,46891278,2919.03,4.92,Seco
2089,62746700,3906.04,33.81,Seco
2090,60025659,3736.66,-4.34,Seco
2091,50461291,3141.27,-15.93,Seco
2092,79261202,4934.09,57.07,Pluvioso
2093,52504219,3268.44,-33.76,Seco
2094,52138508,3245.67,-0.7,Seco
2095,55350636,3445.63,6.16,Seco
2096,39309145,2447.03,-28.98,Seco
2097,39648178,2468.14,0.86,Seco
2098,46154145,2873.14,16.41,Seco
2099,62184030,3871.02,34.73,Seco
2100,60598786,3772.33,-2.55,Seco
