Año,Total Precipitación (L/m²),Media Anual (L/m² al Año),Tasa de Variación (%),Clasificación
2006,23843,5960.75,N/A,Lluvioso
2007,14210,3552.5,-40.4,Seco
2008,14143,3535.75,-0.47,Seco
2009,14221,3555.25,0.55,Seco
2010,10365,2591.25,-27.11,Seco
2011,13129,3282.25,26.67,Seco
2012,14320,3580.0,9.07,Lluvioso
2013,16786,4196.5,17.22,Lluvioso
2014,16595,4148.75,-1.14,Lluvioso
2015,14056,3514.0,-15.3,Seco
2016,22579,5644.75,60.64,Lluvioso
2017,15516,3879.0,-31.28,Lluvioso
2018,16029,4007.25,3.31,Lluvioso
2019,24851,6212.75,55.04,Lluvioso
2020,19090,4772.5,-23.18,Lluvioso
2021,12988,3247.0,-31.96,Seco
2022,24600,6150.0,89.41,Lluvioso
2023,9393,2348.25,-61.82,Seco
2024,12905,3226.25,37.39,Seco
2025,13215,3303.75,2.4,Seco
2026,15181,3795.25,14.88,Lluvioso
2027,23269,5817.25,53.28,Lluvioso
2028,10138,2534.5,-56.43,Seco
2029,11608,2902.0,14.5,Seco
2030,19322,4830.5,66.45,Lluvioso
2031,16749,4187.25,-13.32,Lluvioso
2032,17768,4442.0,6.08,Lluvioso
2033,18585,4646.25,4.6,Lluvioso
2034,11486,2871.5,-38.2,Seco
2035,10792,2698.0,-6.04,Seco
2036,15271,3817.75,41.5,Lluvioso
2037,18423,4605.75,20.64,Lluvioso
2038,10581,2645.25,-42.57,Seco
2039,18445,4611.25,74.32,Lluvioso
2040,14691,3672.75,-20.35,Lluvioso
2041,13313,3328.25,-9.38,Seco
2042,14052,3513.0,5.55,Seco
2043,16864,4216.0,20.01,Lluvioso
2044,15400,3850.0,-8.68,Lluvioso
2045,15148,3787.0,-1.64,Lluvioso
2046,17911,4477.75,18.24,Lluvioso
2047,13967,3491.75,-22.02,Seco
2048,14139,3534.75,1.23,Seco
2049,18827,4706.75,33.16,Lluvioso
2050,12737,3184.25,-32.35,Seco
2051,14779,3694.75,16.03,Lluvioso
2052,8390,2097.5,-43.23,Seco
2053,14545,3636.25,73.36,Lluvioso
2054,17774,4443.5,22.2,Lluvioso
2055,11923,2980.75,-32.92,Seco
2056,18006,4501.5,51.02,Lluvioso
2057,15947,3986.75,-11.44,Lluvioso
2058,12924,3231.0,-18.96,Seco
2059,9582,2395.5,-25.86,Seco
2060,12827,3206.75,33.87,Seco
2061,12531,3132.75,-2.31,Seco
2062,10370,2592.5,-17.25,Seco
2063,16166,4041.5,55.89,Lluvioso
2064,10982,2745.5,-32.07,Seco
2065,13631,3407.75,24.12,Seco
2066,12739,3184.75,-6.54,Seco
2067,14623,3655.75,14.79,Lluvioso
2068,11029,2757.25,-24.58,Seco
2069,10355,2588.75,-6.11,Seco
2070,15947,3986.75,54.0,Lluvioso
2071,19713,4928.25,23.62,Lluvioso
2072,8152,2038.0,-58.65,Seco
2073,15905,3976.25,95.11,Lluvioso
2074,13210,3302.5,-16.94,Seco
2075,15024,3756.0,13.73,Lluvioso
2076,7040,1760.0,-53.14,Seco
2077,12349,3087.25,75.41,Seco
2078,17132,4283.0,38.73,Lluvioso
2079,6117,1529.25,-64.29,Seco
2080,14226,3556.5,132.56,Seco
2081,21086,5271.5,48.22,Lluvioso
2082,9164,2291.0,-56.54,Seco
2083,18757,4689.25,104.68,Lluvioso
2084,10817,2704.25,-42.33,Seco
2085,12758,3189.5,17.94,Seco
2086,10280,2570.0,-19.42,Seco
2087,9169,2292.25,-10.81,Seco
2088,11741,2935.25,28.05,Seco
2089,18127,4531.75,54.39,Lluvioso
2090,12885,3221.25,-28.92,Seco
2091,11832,2958.0,-8.17,Seco
2092,20268,5067.0,71.3,Lluvioso
2093,10556,2639.0,-47.92,Seco
2094,13863,3465.75,31.33,Seco
2095,12938,3234.5,-6.67,Seco
2096,8441,2110.25,-34.76,Seco
2097,7606,1901.5,-9.89,Seco
2098,7712,1928.0,1.39,Seco
2099,14269,3567.25,85.02,Seco
2100,16205,4051.25,13.57,Lluvioso

Año Más Lluvioso,2019,Total Precipitación (L/m²),24851.0
Año Menos Lluvioso,2079,Total Precipitación (L/m²),6117.0
