ID,Latitud,Longitud
P9723,40.450,-6.263
P12368,41.270,-1.675
P2103,37.689,-4.422
P14164,41.784,-0.768
P3897,38.382,-3.960
P15894,42.346,-2.415
P11134,40.948,-6.662
P9073,40.142,-2.336
P1410,37.390,-4.492
P11717,41.150,-6.000
P11519,40.901,-0.108
P12517,41.325,-1.804
P14144,41.836,-2.108
P1797,37.463,-1.595
P11354,40.918,-1.631
P15342,42.228,-3.705
P15756,42.185,0.278
P516,36.935,-4.189
P13868,41.532,1.958
P9449,40.349,-5.410
P17146,42.698,-2.464
P6640,39.304,-2.769
P14580,42.041,-7.481
P11317,40.984,-4.079
P10180,40.589,-4.420
P3757,38.341,-4.598
P14454,41.987,-4.252
P16227,42.484,-4.035
P6015,39.148,-5.420
P4742,38.633,-2.096
P4703,38.691,-4.591
P2478,37.843,-4.798
P18736,43.192,-4.630
P1309,37.327,-3.740
P4290,38.536,-4.211
P1098,37.207,-2.928
P6333,39.229,-3.806
P17003,42.541,0.176
P19833,43.550,-5.931
P1270,37.350,-6.188
P17735,42.703,0.873
P13664,41.619,-0.446
P1424,37.374,-3.612
P11303,40.996,-5.006
P3363,38.198,-5.301
P4070,38.346,-1.156
P12665,41.386,-2.134
P5179,38.776,-1.896
P9461,40.342,-4.622
P11810,40.988,0.165
P1390,37.400,-5.749
P5294,38.884,-4.074
P11365,40.889,-0.905
P11472,41.017,-3.216
P17602,42.880,-8.182
P568,36.999,-5.563
P16430,42.492,-2.272
P18875,43.244,-7.166
P1635,37.491,-4.553
P14606,42.050,-5.731
P16157,42.468,-8.778
P15998,42.441,-7.422
P8318,39.916,-3.196
P17126,42.730,-3.823
P3530,38.205,-2.820
P7749,39.692,-2.361
P18716,43.200,-6.000
P7010,39.500,-6.065
P5158,38.816,-3.241
P13602,41.742,-4.593
P19589,43.429,-3.731
P16557,42.599,-5.661
P14578,42.039,-7.615
P6373,39.150,-1.228
P16684,42.266,2.929
P1156,37.300,-6.314
P5486,38.853,-1.313
P15210,42.081,-0.677
P7408,39.648,-6.714
P157,36.600,-6.062
P427,36.898,-5.314
P10008,40.549,-6.526
P11807,40.998,-0.033
P11523,40.888,0.156
P13206,41.324,2.066
P1937,37.641,-7.451
P15871,42.383,-3.970
P12981,41.486,-2.128
P15119,42.197,-6.810
P17467,42.847,-5.114
P15580,42.127,0.407
P6385,39.115,-0.456
P7161,39.547,-5.157
P10722,40.799,-5.604
P12763,41.500,-6.000
P4140,38.496,-5.106
P17820,42.949,-5.591
P7852,39.795,-4.894
P12458,41.400,-5.733
P8495,39.910,-1.435
P14732,41.729,2.721
P2266,37.681,-2.086
P11369,40.877,-0.641
P137,36.549,-5.627
P14653,42.000,-2.569
P16795,42.569,-1.588
P4568,38.635,-4.145
P6617,39.337,-4.255
P14717,41.798,1.721
P4318,38.493,-2.424
P16718,42.647,-6.815
P2784,37.857,-1.443
P13088,41.600,-5.799
P5894,39.079,-3.811
P7541,39.696,-6.910
P8642,39.965,-1.562
P18006,42.998,-5.317
P18161,43.045,-7.094
P16925,42.697,-5.116
P15261,41.878,2.741
P1080,37.233,-4.056
P17153,42.683,-1.989
P11102,40.702,0.800
P537,36.906,-2.879
P8618,40.014,-3.127
P14690,41.903,-0.086
P17433,42.842,-7.431
P2750,37.924,-3.593
P15266,41.853,3.075
P6607,39.345,-4.901
P6294,39.249,-6.323
P5993,39.147,-6.838
P16384,42.548,-5.390
P5747,39.030,-3.876
P11626,41.047,-2.485
P15345,42.224,-3.503
P12560,41.188,1.050
P15683,42.342,-4.648
P9309,40.298,-5.344
P7864,39.785,-4.113
P1032,37.245,-7.066
P15610,42.002,2.420
P2905,37.924,-1.883
P10226,40.509,-1.395
P2155,37.594,-1.145
P15859,42.394,-4.782
P13617,41.725,-3.588
P11624,41.051,-2.618
P941,37.200,-5.687
P18424,43.013,-1.421
P16090,42.353,-1.196
P11028,40.884,-4.082
P1565,37.372,-1.852
P17740,42.683,1.212
P743,37.096,-5.124
P10733,40.795,-4.877
P5706,39.049,-6.515
P12068,41.178,-1.880
P12328,41.338,-4.335
P15021,42.064,-1.487
P18774,43.135,-2.029
P5259,38.900,-6.321
P2740,37.936,-4.227
P3016,38.007,-2.893
P176,36.594,-4.882
P2745,37.931,-3.910
